"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
119;1179;"HERZ";"Zürich, Herzogenmühlestrasse"
104;1186;"HEUB";"Zürich, Heubeeriweg"
176;1187;"HEUR";"Zürich, Heuried"
386;6250;"HIMM";"Zürich, Himmeri"
416;1194;"HINT";"Zürich, Hinterbergstrasse"
160;1215;"HIRS";"Zürich, Hirschwiesenstrasse"
472;1220;"HIRZ";"Zürich, Hirzenbach"
205;1272;"HOEF";"Zürich, Höfliweg"
415;3469;"HOFS";"Zürich, Hofstrasse"
242;1231;"HOHE";"Zürich, Hohenklingensteig"
413;3470;"HSTG";"Zürich, Hölderlinsteig"
180;1278;"HOEL";"Zürich, Hölderlinstrasse"
196;1239;"HOLZ";"Zürich, Holzerhurd"
376;1280;"HOEB";"Zürich, Hönggerberg"
292;1286;"HOES";"Zürich, Höschgasse"
179;1251;"HOTT";"Zürich, Hottingerplatz"
367;1252;"HUBE";"Zürich, Hubertus"
485;1288;"HUEG";"Zürich, Hügelstrasse"
195;1259;"HUNG";"Zürich, Hungerbergstrasse"
663;1292;"HUER";"Zürich, Hürstholz"
368;3123;"IMGU";"Zürich, Im Gut"
208;1307;"IHAG";"Zürich, Im Hagacker"
78;1310;"IHUS";"Zürich, Im Hüsli"
107;1311;"IKLO";"Zürich, Im Klösterli"
93;1315;"IWAL";"Zürich, Im Walder"
375;1316;"IWIN";"Zürich, Im Wingert"
424;1320;"IDEY";"Zürich, In der Ey"
229;3153;"JUCH";"Zürich, Juchhof"
488;1354;"JUGI";"Zürich, Jugendherberge"
625;1356;"KALB";"Zürich, Kalchbühlweg"
408;1358;"KANO";"Zürich, Kanonengasse"
183;601;"KANB";"Zürich, Kantonalbank"
64;1359;"KANT";"Zürich, Kantonsschule"
431;1362;"KAPF";"Zürich, Kapfstrasse"
277;1364;"KAPP";"Zürich, Kappeli"
655;3138;"KABU";"Zürich, Kappenbühlweg"
390;1483;"KAES";"Zürich, Käshaldenstrasse"
396;1379;"KEMP";"Zürich, Kempfhofsteig"
202;1386;"KERN";"Zürich, Kernstrasse"
439;1389;"KIEN";"Zürich, Kienastenwies"
645;7064;"KISP";"Zürich, Kindersp. (ab 10/2024)"
56;1399;"KINK";"Zürich, Kinkelstrasse"
63;1407;"KFLU";"Zürich, Kirche Fluntern"
95;3592;"KHIR";"Zürich, Klinik Hirslanden"
414;3648;"KLOB";"Zürich, Klosbach"
181;1430;"KLUS";"Zürich, Klusplatz"
389;6304;"KOES";"Zürich, Köschenrüti"
660;1445;"KNOR";"Zürich, Krematorium Nordheim"
21;1453;"KREU";"Zürich, Kreuzplatz"
290;1456;"KRES";"Zürich, Kreuzstrasse"
164;1468;"KRON";"Zürich, Kronenstrasse"
103;1471;"KROE";"Zürich, Krönleinstrasse"
65;1472;"KUNS";"Zürich, Kunsthaus"
197;1595;"LAEG";"Zürich, Lägernstrasse"
336;3141;"LAND";"Zürich, Landiwiese"
98;1502;"LAST";"Zürich, Langensteinenstrasse"
648;1503;"LANG";"Zürich, Langgrütstrasse"
54;1507;"LANM";"Zürich, Langmauerstrasse"
148;1519;"LAUB";"Zürich, Laubegg"
457;1522;"LAUI";"Zürich, Laubiweg"
394;1528;"LEHE";"Zürich, Lehenstrasse"
391;1532;"LEIM";"Zürich, Leimgrübelstrasse"
446;1539;"LERC";"Zürich, Lerchenhalde"
722;3457;"LERA";"Zürich, Lerchenrain"
405;1547;"LETT";"Zürich, Lettenstrasse"
428;1592;"LETB";"Zürich, Letzibach"
275;1548;"LETG";"Zürich, Letzigrund"
427;3148;"LETP";"Zürich, Letzipark"
362;1549;"LPAW";"Zürich, Letzipark West"
55;1550;"LETZ";"Zürich, Letzistrasse"
459;1552;"LEUT";"Zürich, Leutschenbach"
692;7060;"LEUP";"Zürich, Leutschenpark"
136;1557;"LIMM";"Zürich, Limmatplatz"
279;1570;"LIND";"Zürich, Lindenplatz"
272;1579;"LOCH";"Zürich, Lochergut"
323;1581;"LOOG";"Zürich, Loogarten"
437;1584;"LOOR";"Zürich, Loorenstrasse"
138;648;"LOEB";"Zürich, Löwenbräu"
168;1608;"LOEW";"Zürich, Löwenplatz"
34;1587;"LUCH";"Zürich, Luchswiesen"
471;1590;"LUEG";"Zürich, Luegisland"
661;1611;"MAIE";"Zürich, Maienweg"
682;3788;"MAIL";"Zürich, Maillartstrasse"
81;1612;"MANG";"Zürich, Manegg"
484;1614;"MANS";"Zürich, Manesseplatz"
77;1615;"MARB";"Zürich, Marbachweg"
498;1620;"MATT";"Zürich, Mattenhof"
383;3764;"MAXB";"Zürich, Max-Bill-Platz"
